"DIAS" "VIEWS" "INSCRITOS" "CANAL"
"1" 1 5200 0.00066 "inventonahora"
"2" 2 4600 0.00089 "inventonahora"
"3" 3 5200 0.00103 "inventonahora"
"4" 4 4400 0.00087 "inventonahora"
"5" 5 5100 0.00102 "inventonahora"
"6" 6 6200 0.00093 "inventonahora"
"7" 7 4800 0.00061 "inventonahora"
"8" 8 4500 0.00074 "inventonahora"
"9" 9 3700 0.00053 "inventonahora"
"10" 10 3700 7e-04 "inventonahora"
"11" 11 6000 0.00093 "inventonahora"
"12" 12 5700 0.00128 "inventonahora"
"13" 13 4800 0.00081 "inventonahora"
"14" 14 3800 0.00061 "inventonahora"
"15" 15 3900 0.00057 "inventonahora"
"16" 16 9300 0.00225 "inventonahora"
"17" 17 7600 0.00267 "inventonahora"
"18" 18 6000 0.00115 "inventonahora"
"19" 19 5800 0.00101 "inventonahora"
"20" 20 5500 0.00104 "inventonahora"
"21" 21 5400 0.00095 "inventonahora"
"22" 22 5600 0.00088 "inventonahora"
"23" 23 5500 0.00072 "inventonahora"
"24" 24 6600 0.00121 "inventonahora"
"25" 25 8000 0.00161 "inventonahora"
"26" 26 6400 0.00096 "inventonahora"
"27" 27 6500 0.00118 "inventonahora"
"28" 28 5200 0.00093 "inventonahora"
"29" 29 5200 0.00122 "inventonahora"
"30" 30 5500 0.00113 "inventonahora"
"31" 31 5000 0.00092 "inventonahora"
"32" 32 5700 0.00089 "inventonahora"
"33" 33 5900 0.00091 "inventonahora"
"34" 34 5200 0.00084 "inventonahora"
"35" 35 4570 0.00086 "inventonahora"
"36" 36 7400 0.00073 "inventonahora"
"37" 37 6900 0.0013 "inventonahora"
"38" 38 5900 0.00156 "inventonahora"
"39" 39 5600 0.00102 "inventonahora"
"40" 40 6400 0.00101 "inventonahora"
"41" 41 9000 0.00101 "inventonahora"
"42" 42 6100 0.00107 "inventonahora"
"43" 43 5700 8e-04 "inventonahora"
"44" 44 6000 0.00097 "inventonahora"
"45" 45 6300 0.00082 "inventonahora"
"46" 46 7900 0.00033 "inventonahora"
"47" 47 10000 0.00135 "inventonahora"
"48" 48 7000 0.00169 "inventonahora"
"49" 49 8000 0.00117 "inventonahora"
"50" 50 7700 0.00123 "inventonahora"
"51" 51 7000 0.0011 "inventonahora"
"52" 52 6500 0.00104 "inventonahora"
"53" 53 21500 0.00103 "inventonahora"
"54" 54 31300 0.00276 "inventonahora"
"55" 55 10800 0.00428 "inventonahora"
"56" 56 11000 0.0023 "inventonahora"
"57" 57 9700 0.0026 "inventonahora"
"58" 58 9800 0.00145 "inventonahora"
"59" 59 11900 0.00124 "inventonahora"
"60" 60 22100 0.00367 "inventonahora"
"61" 61 27700 0.0042 "inventonahora"
"62" 62 30800 0.00343 "inventonahora"
"63" 63 37800 0.00307 "inventonahora"
"64" 64 49200 0.00399 "inventonahora"
"65" 65 44300 0.00377 "inventonahora"
"66" 66 45500 0.00403 "inventonahora"
"67" 67 46500 0.00406 "inventonahora"
"68" 68 27700 0.00281 "inventonahora"
"69" 69 19500 0.00249 "inventonahora"
"70" 70 20100 0.00361 "inventonahora"
"71" 71 18900 0.00292 "inventonahora"
"72" 72 14800 0.00269 "inventonahora"
"73" 73 14200 0.00233 "inventonahora"
"74" 74 15000 0.00254 "inventonahora"
"75" 75 15900 0.0022 "inventonahora"
"76" 76 16000 0.00209 "inventonahora"
"77" 77 20100 0.00264 "inventonahora"
"78" 78 21400 0.00285 "inventonahora"
"79" 79 17600 0.00268 "inventonahora"
"80" 80 18300 0.00283 "inventonahora"
"81" 81 18300 0.00279 "inventonahora"
"82" 82 17500 0.00293 "inventonahora"
"83" 83 16100 0.0032 "inventonahora"
"84" 84 13800 0.00314 "inventonahora"
"85" 85 12800 0.00287 "inventonahora"
"86" 86 12000 0.0024 "inventonahora"
"87" 87 11400 0.00212 "inventonahora"
"88" 88 14500 0.00204 "inventonahora"
"89" 89 14300 0.00177 "inventonahora"
"90" 90 10000 0.00169 "inventonahora"
"91" 91 11300 0.00183 "inventonahora"
"92" 92 12800 0.00212 "inventonahora"
"93" 93 11900 0.00212 "inventonahora"
"94" 94 10200 0.00144 "inventonahora"
"95" 95 10800 0.00176 "inventonahora"
"96" 96 9800 0.00194 "inventonahora"
"97" 97 9200 0.0017 "inventonahora"
"98" 98 11000 0.00149 "inventonahora"
"99" 99 10000 0.00148 "inventonahora"
"100" 100 17300 0.00258 "inventonahora"
"101" 101 15800 0.00355 "inventonahora"
"102" 102 14100 0.00251 "inventonahora"
"103" 103 13700 0.00255 "inventonahora"
"104" 104 17800 0.0062 "inventonahora"
"105" 105 12800 0.00242 "inventonahora"
"106" 106 14500 0.00323 "inventonahora"
"107" 107 13700 0.002 "inventonahora"
"108" 108 12900 0.00194 "inventonahora"
"109" 109 12500 0.00206 "inventonahora"
"110" 110 10900 0.00119 "inventonahora"
"111" 111 10200 0.00175 "inventonahora"
"112" 112 10700 0.00138 "inventonahora"
"113" 113 9500 0.00108 "inventonahora"
"114" 114 9000 0.00154 "inventonahora"
"115" 115 13900 0.00183 "inventonahora"
"116" 116 12500 0.00217 "inventonahora"
"117" 117 10800 0.00167 "inventonahora"
"118" 118 8700 0.00138 "inventonahora"
"119" 119 8700 0.00156 "inventonahora"
"120" 120 8800 0.00116 "inventonahora"
"121" 121 9300 0.00177 "inventonahora"
"122" 122 16100 0.00261 "inventonahora"
"123" 123 20600 0.00349 "inventonahora"
"124" 124 12900 0.00254 "inventonahora"
"125" 125 11200 0.00216 "inventonahora"
"126" 126 21600 0.0033 "inventonahora"
"127" 127 15700 0.00291 "inventonahora"
"128" 128 13600 0.00205 "inventonahora"
"129" 129 17600 0.00205 "inventonahora"
"130" 130 26800 0.00213 "inventonahora"
"131" 131 21300 0.00176 "inventonahora"
"132" 132 11200 0.00139 "inventonahora"
"133" 133 12100 0.00119 "inventonahora"
"134" 134 11000 0.0011 "inventonahora"
"135" 135 10700 0.00122 "inventonahora"
"136" 136 13100 0.00118 "inventonahora"
"137" 137 30000 0.00488 "inventonahora"
"138" 138 27000 0.00371 "inventonahora"
"139" 139 23800 0.00338 "inventonahora"
"140" 140 22600 0.0026 "inventonahora"
"141" 141 20700 0.00216 "inventonahora"
"142" 142 19700 0.0025 "inventonahora"
"143" 143 16900 0.00259 "inventonahora"
"144" 144 18500 0.00253 "inventonahora"
"145" 145 17800 0.00265 "inventonahora"
"146" 146 18200 0.00312 "inventonahora"
"147" 147 20000 0.00314 "inventonahora"
"148" 148 21180 0.00291 "inventonahora"
"149" 149 21190 0.00314 "inventonahora"
"150" 150 23800 0.00348 "inventonahora"
"151" 151 35700 0.00596 "inventonahora"
"152" 152 26500 0.00445 "inventonahora"
"153" 153 26200 0.00405 "inventonahora"
"154" 154 28000 0.00439 "inventonahora"
"155" 155 24800 0.00366 "inventonahora"
"156" 156 20700 0.00335 "inventonahora"
"157" 157 21600 0.00329 "inventonahora"
"158" 158 24700 0.00364 "inventonahora"
"159" 159 20300 0.00275 "inventonahora"
"160" 160 19800 0.00271 "inventonahora"
"161" 161 23000 0.00323 "inventonahora"
"162" 162 22800 0.00347 "inventonahora"
"163" 163 22800 0.0034 "inventonahora"
"164" 164 24300 0.00376 "inventonahora"
"165" 165 27000 0.00404 "inventonahora"
"166" 166 19200 0.00292 "inventonahora"
"167" 167 15200 0.0028 "inventonahora"
"168" 168 19100 0.00331 "inventonahora"
"169" 169 17800 0.00326 "inventonahora"
"170" 170 17600 0.00281 "inventonahora"
"171" 171 17800 0.0031 "inventonahora"
"172" 172 21300 0.00444 "inventonahora"
"173" 173 20500 0.00367 "inventonahora"
"174" 174 17400 0.00272 "inventonahora"
"175" 175 17000 0.00265 "inventonahora"
"176" 176 18100 0.00285 "inventonahora"
"177" 177 18200 0.00323 "inventonahora"
"178" 178 28400 0.00513 "inventonahora"
"179" 179 29300 0.00472 "inventonahora"
"180" 180 25700 0.00416 "inventonahora"
"181" 181 19000 0.004 "inventonahora"
"182" 182 22000 0.00433 "inventonahora"
"183" 183 25000 0.00634 "inventonahora"
"184" 184 22000 0.00608 "inventonahora"
"185" 185 21000 0.00466 "inventonahora"
